NAME	Tissue	Cancer Type	Cancer Subtype	Sample Gender
HS706T_BONE	BONE	giant_cell_tumour	NS	F
HS729_SOFT_TISSUE	SOFT_TISSUE	rhabdomyosarcoma	NS	M
HS737T_BONE	BONE	other	giant_cell_tumour	F
HS739T_BREAST	BREAST	carcinoma	NS	F
HS742T_BREAST	BREAST	carcinoma	NS	F
HS746T_STOMACH	STOMACH	carcinoma	NS	M
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	
HS766T_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	M
HS819T_BONE	BONE	chondrosarcoma	NS	M
HS821T_BONE	BONE	giant_cell_tumour	NS	F
HS822T_BONE	BONE	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	F
HS839T_SKIN	SKIN	malignant_melanoma	NS	F
HS840T_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	other	papilloma	M
HS852T_SKIN	SKIN	malignant_melanoma	NS	M
HS863T_BONE	BONE	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	F
HS870T_BONE	BONE	osteosarcoma	NS	
HS888T_BONE	BONE	osteosarcoma	NS	M
HS895T_SKIN	SKIN	malignant_melanoma	NS	F
HS934T_SKIN	SKIN	malignant_melanoma	NS	F
HS936T_SKIN	SKIN	malignant_melanoma	NS	M
HS939T_SKIN	SKIN	malignant_melanoma	NS	F
HS940T_SKIN	SKIN	malignant_melanoma	NS	M
HS944T_SKIN	SKIN	malignant_melanoma	NS	M
HSC2_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
HSC3_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
HSC4_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
HT1080_SOFT_TISSUE	SOFT_TISSUE	fibrosarcoma	NS	M
HT115_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	NS	
HT1197_URINARY_TRACT	URINARY_TRACT	carcinoma	NS	M
HT1376_URINARY_TRACT	URINARY_TRACT	carcinoma	transitional_cell_carcinoma	F
HT144_SKIN	SKIN	malignant_melanoma	NS	M
HT29_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	F
HT55_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	B_cell_lymphoma_unspecified	M
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
HUCCT1_BILIARY_TRACT	BILIARY_TRACT	carcinoma	NS	M
HUG1N_STOMACH	STOMACH	carcinoma	NS	M
HUH1_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
HUH28_BILIARY_TRACT	BILIARY_TRACT	carcinoma	NS	
HUH6_LIVER	LIVER	other	hepatoblastoma	
HUH7_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
HUPT3_PANCREAS	PANCREAS	carcinoma	NS	M
HUPT4_PANCREAS	PANCREAS	carcinoma	NS	M
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	mycosis_fungoides-Sezary_syndrome	M
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	mycosis_fungoides-Sezary_syndrome	M
HUTU80_SMALL_INTESTINE	SMALL_INTESTINE	carcinoma	adenocarcinoma	
IALM_LUNG	LUNG	carcinoma	large_cell_carcinoma	M
IGR1_SKIN	SKIN	malignant_melanoma	NS	M
IGR37_SKIN	SKIN	malignant_melanoma	NS	M
IGR39_SKIN	SKIN	malignant_melanoma	NS	M
IGROV1_OVARY	OVARY	carcinoma	adenocarcinoma	F
IM95_STOMACH	STOMACH	carcinoma	intestinal_adenocarcinoma	M
IMR32_AUTONOMIC_GANGLIA	AUTONOMIC_GANGLIA	neuroblastoma	NS	M
IPC298_SKIN	SKIN	malignant_melanoma	NS	F
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
ISTMES1_PLEURA	PLEURA	mesothelioma	NS	F
ISTMES2_PLEURA	PLEURA	mesothelioma	NS	M
J82_URINARY_TRACT	URINARY_TRACT	carcinoma	transitional_cell_carcinoma	M
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	mantle_cell_lymphoma	F
JHH1_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
JHH2_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
JHH4_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
JHH5_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
JHH6_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	F
JHH7_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
JHOC5_OVARY	OVARY	carcinoma	clear_cell_carcinoma	
JHOM1_OVARY	OVARY	carcinoma	adenocarcinoma	
JHOM2B_OVARY	OVARY	carcinoma	adenocarcinoma	
JHOS2_OVARY	OVARY	carcinoma	adenocarcinoma	F
JHOS4_OVARY	OVARY	carcinoma	adenocarcinoma	F
JHUEM1_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
JHUEM2_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
JHUEM3_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	
JHUEM7_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
JIMT1_BREAST	BREAST	carcinoma	ductal_carcinoma	F
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	M
JL1_PLEURA	PLEURA	mesothelioma	NS	M
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	B_cell_lymphoma_unspecified	
JMSU1_URINARY_TRACT	URINARY_TRACT	carcinoma	NS	M
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	M
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	M
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	F
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	M
K029AX_SKIN	SKIN	malignant_melanoma	NS	
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	F
KALS1_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	NS	F
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	M
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	M
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
KATOIII_STOMACH	STOMACH	carcinoma	adenocarcinoma	M
KCIMOH1_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	F
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	F
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	M
KE39_STOMACH	STOMACH	carcinoma	NS	M
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
KELLY_AUTONOMIC_GANGLIA	AUTONOMIC_GANGLIA	neuroblastoma	NS	
KG1C_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	M
KLE_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
KLM1_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	
KM12_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	
KMBC2_URINARY_TRACT	URINARY_TRACT	carcinoma	NS	
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	M
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
KMRC1_KIDNEY	KIDNEY	carcinoma	clear_cell_renal_cell_carcinoma	M
KMRC20_KIDNEY	KIDNEY	carcinoma	renal_cell_carcinoma	
KMRC2_KIDNEY	KIDNEY	carcinoma	clear_cell_renal_cell_carcinoma	M
KMRC3_KIDNEY	KIDNEY	carcinoma	clear_cell_renal_cell_carcinoma	
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
KNS42_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	NS	M
KNS60_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
KNS62_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
KNS81_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	F
KP2_PANCREAS	PANCREAS	carcinoma	NS	F
KP3_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	
KP4_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	M
KPL1_BREAST	BREAST	carcinoma	ductal_carcinoma	F
KPNRTBM1_AUTONOMIC_GANGLIA	AUTONOMIC_GANGLIA	neuroblastoma	NS	
KPNSI9S_AUTONOMIC_GANGLIA	AUTONOMIC_GANGLIA	neuroblastoma	NS	M
KPNYN_AUTONOMIC_GANGLIA	AUTONOMIC_GANGLIA	neuroblastoma	NS	
KS1_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	F
KU1919_URINARY_TRACT	URINARY_TRACT	carcinoma	transitional_cell_carcinoma	M
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	chronic_myeloid_leukaemia	M
KURAMOCHI_OVARY	OVARY	carcinoma	undifferentiated_carcinoma	F
KYM1_SOFT_TISSUE	SOFT_TISSUE	rhabdomyosarcoma	NS	
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	M
KYSE140_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	M
KYSE150_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	F
KYSE180_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	M
KYSE270_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	M
KYSE30_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	M
KYSE410_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	M
KYSE450_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	M
KYSE510_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	F
KYSE520_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	F
KYSE70_OESOPHAGUS	OESOPHAGUS	carcinoma	squamous_cell_carcinoma	M
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	M
L33_PANCREAS	PANCREAS	carcinoma	NS	
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	F
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	Hodgkin_lymphoma	F
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	F
LC1F_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
LC1SQSF_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
LCLC103H_LUNG	LUNG	carcinoma	large_cell_carcinoma	M
LCLC97TM1_LUNG	LUNG	carcinoma	large_cell_carcinoma	M
LI7_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	
LK2_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
LMSU_STOMACH	STOMACH	carcinoma	adenocarcinoma	
LN18_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
LN229_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	F
LNCAPCLONEFGC_PROSTATE	PROSTATE	carcinoma	adenocarcinoma	M
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	F
LOUNH91_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	F
LOVO_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
LOXIMVI_SKIN	SKIN	malignant_melanoma	NS	
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
LS1034_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
LS123_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	F
LS180_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	F
LS411N_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
LS513_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	M
LU65_LUNG	LUNG	carcinoma	non_small_cell_carcinoma	M
LU99_LUNG	LUNG	carcinoma	large_cell_carcinoma	M
LUDLU1_LUNG	LUNG	carcinoma	squamous_cell_carcinoma	M
LXF289_LUNG	LUNG	carcinoma	adenocarcinoma	M
M059K_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	F
MALME3M_SKIN	SKIN	malignant_melanoma	NS	M
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	B_cell_lymphoma_unspecified	M
MCAS_OVARY	OVARY	carcinoma	adenocarcinoma	F
MCF7_BREAST	BREAST	carcinoma	NS	F
MDAMB134VI_BREAST	BREAST	carcinoma	ductal_carcinoma	F
MDAMB157_BREAST	BREAST	carcinoma	ductal_carcinoma	F
MDAMB175VII_BREAST	BREAST	carcinoma	ductal_carcinoma	F
MDAMB231_BREAST	BREAST	carcinoma	NS	F
MDAMB361_BREAST	BREAST	carcinoma	NS	F
MDAMB415_BREAST	BREAST	carcinoma	NS	F
MDAMB435S_SKIN	SKIN	malignant_melanoma	NS	F
MDAMB436_BREAST	BREAST	carcinoma	NS	F
MDAMB453_BREAST	BREAST	carcinoma	NS	F
MDAMB468_BREAST	BREAST	carcinoma	NS	F
MDAPCA2B_PROSTATE	PROSTATE	carcinoma	adenocarcinoma	M
MDST8_LARGE_INTESTINE	LARGE_INTESTINE	carcinoma	adenocarcinoma	
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	M
MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	M
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	M
MELHO_SKIN	SKIN	malignant_melanoma	NS	F
MELJUSO_SKIN	SKIN	malignant_melanoma	NS	F
MESSA_SOFT_TISSUE	SOFT_TISSUE	sarcoma	NS	F
MEWO_SKIN	SKIN	malignant_melanoma	NS	M
MFE280_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
MFE296_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
MFE319_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
MG63_BONE	BONE	osteosarcoma	NS	M
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	F
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	F
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	M
MHHES1_BONE	BONE	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	M
MHHNB11_AUTONOMIC_GANGLIA	AUTONOMIC_GANGLIA	neuroblastoma	NS	M
MIAPACA2_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	M
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	mantle_cell_lymphoma	M
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	mycosis_fungoides-Sezary_syndrome	M
MKN1_STOMACH	STOMACH	carcinoma	mixed_adenosquamous_carcinoma	M
MKN45_STOMACH	STOMACH	carcinoma	diffuse_adenocarcinoma	F
MKN74_STOMACH	STOMACH	carcinoma	tubular_adenocarcinoma	M
MKN7_STOMACH	STOMACH	carcinoma	tubular_adenocarcinoma	M
ML1_THYROID	THYROID	carcinoma	follicular_carcinoma	F
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma	
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma	
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	F
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	M
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	M
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	F
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	F
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	M
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
MORCPR_LUNG	LUNG	carcinoma	adenocarcinoma	
MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	T_cell_large_granular_lymphocytic_leukaemia	F
MPP89_PLEURA	PLEURA	mesothelioma	NS	M
MSTO211H_PLEURA	PLEURA	mesothelioma	NS	M
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	M
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	M
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	M
